review_id,course_id,rating,text,label
R00001,5,5,推荐给朋友，老师讲得很细。,好评
R00002,5,5,练习题丰富，练习题丰富。,好评
R00003,10,5,老师讲得很细，课程内容很清晰。,好评
R00004,9,5,老师讲得很细，Python 入门好课。,好评
R00005,5,5,有收获，有收获。,好评
R00006,10,5,练习题丰富，代码可直接跑。,好评
R00007,2,5,Python 入门好课，练习题丰富。,好评
R00008,9,5,代码可直接跑，有收获。,好评
R00009,3,5,推荐给朋友，课程内容很清晰。,好评
R00010,1,5,课程内容很清晰，推荐给朋友。,好评
R00011,1,3,还可以，学完有基础。,中性
R00012,7,5,老师讲得很细，案例贴近实战。,好评
R00013,10,5,练习题丰富，推荐给朋友。,好评
R00014,6,5,有收获，代码可直接跑。,好评
R00015,8,3,一般般，还可以。,中性
R00016,8,3,一般般，还可以。,中性
R00017,5,3,还可以，学完有基础。,中性
R00018,8,1,进度条不准，进度条不准。,差评
R00019,4,5,推荐给朋友，Python 入门好课。,好评
R00020,6,5,练习题丰富，代码可直接跑。,好评
R00021,6,5,案例贴近实战，练习题丰富。,好评
R00022,8,3,内容中等，学完有基础。,中性
R00023,8,1,节奏太快，节奏太快。,差评
R00024,8,1,节奏太快，讲解不细致。,差评
R00025,5,5,推荐给朋友，练习题丰富。,好评
R00026,9,3,内容中等，一般般。,中性
R00027,2,5,老师讲得很细，案例贴近实战。,好评
R00028,5,5,有收获，老师讲得很细。,好评
R00029,10,5,推荐给朋友，案例贴近实战。,好评
R00030,10,1,代码有 bug，练习题太难。,差评
R00031,8,5,Python 入门好课，练习题丰富。,好评
R00032,6,3,学完有基础，还可以。,中性
R00033,7,5,Python 入门好课，案例贴近实战。,好评
R00034,6,1,视频质量一般，字幕有错。,差评
R00035,2,5,Python 入门好课，练习题丰富。,好评
R00036,10,5,推荐给朋友，老师讲得很细。,好评
R00037,9,3,学完有基础，内容中等。,中性
R00038,3,3,还可以，学完有基础。,中性
R00039,2,1,讲解不细致，代码有 bug。,差评
R00040,6,3,还可以，学完有基础。,中性
R00041,1,1,代码有 bug，进度条不准。,差评
R00042,3,5,老师讲得很细，Python 入门好课。,好评
R00043,1,1,视频质量一般，字幕有错。,差评
R00044,8,5,练习题丰富，练习题丰富。,好评
R00045,10,5,代码可直接跑，案例贴近实战。,好评
R00046,4,5,推荐给朋友，Python 入门好课。,好评
R00047,5,1,进度条不准，讲解不细致。,差评
R00048,5,1,视频质量一般，字幕有错。,差评
R00049,2,5,案例贴近实战，有收获。,好评
R00050,10,1,视频质量一般，节奏太快。,差评
R00051,5,3,学完有基础，一般般。,中性
R00052,9,5,课程内容很清晰，有收获。,好评
R00053,9,5,课程内容很清晰，课程内容很清晰。,好评
R00054,5,3,内容中等，还可以。,中性
R00055,7,5,课程内容很清晰，Python 入门好课。,好评
R00056,7,1,进度条不准，视频质量一般。,差评
R00057,7,5,有收获，案例贴近实战。,好评
R00058,9,5,案例贴近实战，案例贴近实战。,好评
R00059,3,1,练习题太难，进度条不准。,差评
R00060,4,1,代码有 bug，练习题太难。,差评
R00061,7,3,学完有基础，内容中等。,中性
R00062,3,3,一般般，内容中等。,中性
R00063,2,3,一般般，还可以。,中性
R00064,3,1,进度条不准，节奏太快。,差评
R00065,3,5,推荐给朋友，案例贴近实战。,好评
R00066,7,5,老师讲得很细，练习题丰富。,好评
R00067,10,5,推荐给朋友，案例贴近实战。,好评
R00068,9,3,一般般，学完有基础。,中性
R00069,7,5,案例贴近实战，推荐给朋友。,好评
R00070,3,1,讲解不细致，练习题太难。,差评
R00071,10,5,案例贴近实战，课程内容很清晰。,好评
R00072,9,3,学完有基础，一般般。,中性
R00073,9,3,内容中等，学完有基础。,中性
R00074,1,5,有收获，课程内容很清晰。,好评
R00075,2,3,学完有基础，内容中等。,中性
R00076,3,5,推荐给朋友，老师讲得很细。,好评
R00077,9,5,代码可直接跑，推荐给朋友。,好评
R00078,4,3,还可以，还可以。,中性
R00079,9,5,推荐给朋友，老师讲得很细。,好评
R00080,6,3,内容中等，还可以。,中性
